Mutation,ProteinExpressed,UnmutatedMean,UnmutatedStdDev,MutatedMean,MutatedStdDev,n,p_post_bonferroni
DNMT3A,CEBPE,213.488336,468.589222,66.209998,102.532457,23,0.119870
IDH1,CEBPE,196.375481,436.981247,29.999854,13.007172,11,0.190752
RUNX1,CEBPE,194.111613,434.692381,31.699622,23.255056,10,0.277077
NPM1,CEBPA,2705.770630,3014.406147,3005.548148,1191.493229,23,0.495400
CEBPA,CEBPA,2470.983354,1754.398961,7181.070862,6659.986271,6,0.596890
IDH1+DNMT3A,CEBPE,188.609350,427.863539,28.121632,15.500958,7,0.645556
FLT3-ITD,CEBPZ,1122.000744,356.177255,1238.255667,197.805368,21,0.723248
TTN,CEBPA,2706.704314,2720.925202,4068.687864,1151.323578,5,0.748177
TTN,CEBPZ,1166.865497,324.788106,838.597674,260.477226,5,0.819584
RUNX1,CEBPA,2925.030586,2794.499171,1619.253280,660.628344,10,1.552006
FLT3-ITD,CEBPE,181.244189,461.450231,159.663981,173.574162,21,1.575605
TP53,CEBPG,1110.126957,363.790228,852.402162,221.542303,5,1.845797
IDH1+DNMT3A,CEBPG,1081.424482,364.141110,1270.467516,285.752466,7,1.957324
DNMT3A,CEBPG,1046.515239,288.703091,1242.169254,494.100407,23,2.059108
DNMT3A+NPM1,CEBPA,2739.100909,2804.928776,3125.283669,1161.175522,10,2.082234
FLT3,CEBPG,1081.824941,359.499102,1339.196832,320.369878,5,2.523794
FLT3-ITD+NPM1,CEBPA,2751.319597,2829.800973,3001.312958,993.715859,11,2.888002
IDH2,CEBPE,187.931814,434.200717,81.755991,132.082065,10,3.235969
FLT3-ITD+NPM1,CEBPZ,1134.500844,342.205063,1253.032140,194.500781,11,4.405893
IDH2,CEBPA,2902.073538,2788.388301,1805.205373,1076.823473,10,5.468875
FLT3-ITD+DNMT3A,CEBPA,2765.080360,2745.396450,3064.619856,832.480273,5,5.649768
IDH1,CEBPG,1084.949232,372.580589,1176.090054,262.013566,11,6.070015
NRAS,CEBPG,1104.233534,370.316567,953.769046,89.733767,5,7.242927
FLT3-ITD+NPM1,CEBPE,182.107907,439.139113,133.764023,93.273362,11,8.161851
TET2,CEBPE,190.429369,435.601463,61.525797,53.114607,10,8.350232
FLT3-ITD,CEBPA,2819.096008,2993.197305,2656.347130,1080.441996,21,8.582210
WT1,CEBPE,178.042899,426.821333,151.065074,97.190222,6,10.278338
FLT3,CEBPZ,1152.238917,317.831841,1090.174840,492.884389,5,10.764676
NRAS,CEBPA,2748.357833,2712.770574,3352.247329,1869.787439,5,11.645595
FLT3-ITD+DNMT3A,CEBPZ,1141.970260,332.686957,1266.795746,256.197754,5,11.645595
DNMT3A+NPM1,CEBPG,1085.919941,367.570117,1177.341392,303.754581,10,11.711653
TTN,CEBPE,159.351535,379.724017,467.160958,734.531222,5,12.571295
NPM1,CEBPG,1087.658071,388.468500,1120.529579,268.692015,23,13.196698
TET2,CEBPG,1096.170914,371.750309,1094.308506,273.258358,10,15.049981
DNMT3A+NPM1,CEBPZ,1155.048835,337.500844,1098.446546,257.948741,10,15.049981
FLT3-ITD+NPM1,CEBPG,1103.649914,373.289005,1040.085090,261.837307,11,15.687167
TET2,CEBPZ,1143.772804,327.366952,1189.782395,349.400060,10,16.904768
CEBPA,CEBPE,183.591908,426.474065,72.454108,52.786679,6,17.234402
TP53,CEBPE,182.049743,424.099682,76.751788,71.209746,5,17.465058
CEBPA,CEBPG,1100.857378,368.225793,1026.675338,253.240036,6,17.937889
DNMT3A+NPM1,CEBPE,188.526438,435.638125,76.939539,79.178846,10,18.016921
DNMT3A,CEBPZ,1154.209686,345.025930,1132.920105,281.118796,23,19.107422
TET2,CEBPA,2827.754006,2823.118998,2407.193581,703.136754,10,19.752114
WT1,CEBPG,1095.337479,371.934790,1104.873905,174.053479,6,19.758412
WT1,CEBPZ,1145.536241,338.780596,1195.473427,158.495411,6,19.758412
RUNX1,CEBPG,1093.810198,371.981353,1113.430307,270.071678,10,20.048745
FLT3-ITD,CEBPG,1107.380005,393.580004,1057.920418,224.447694,21,23.659156
FLT3-ITD+DNMT3A,CEBPE,179.837331,424.259603,114.805270,96.015330,5,24.074210
NPM1,CEBPZ,1149.838265,338.879570,1145.844307,302.956057,23,24.422388
NRAS,CEBPE,181.214699,424.518494,91.114539,42.002363,5,25.857891
IDH1,CEBPA,2786.299499,2788.945339,2746.913671,1646.377333,11,26.026690
FLT3,CEBPA,2817.026792,2742.633254,2171.141229,802.745327,5,26.310101
FLT3,CEBPE,181.014751,424.486244,94.553645,53.313792,5,27.221201
TP53,CEBPA,2795.060388,2701.873157,2548.963391,2190.527539,5,27.679835
TP53,CEBPZ,1145.971636,319.237575,1197.972078,478.138463,5,28.140351
CEBPA,CEBPZ,1148.053254,313.512915,1159.815740,510.700570,6,29.038812
RUNX1,CEBPZ,1150.911328,346.478882,1131.960347,139.029424,10,29.375265
IDH2,CEBPG,1078.769591,289.087544,1235.259228,703.812088,10,29.714860
IDH1+DNMT3A,CEBPA,2803.193275,2751.510074,2521.682167,1494.203939,7,30.174366
IDH1,CEBPZ,1151.212991,322.586984,1131.489252,380.381917,11,30.214222
IDH1+DNMT3A,CEBPZ,1144.003015,327.219874,1206.738264,358.727032,7,30.574791
TTN,CEBPG,1098.003304,371.379226,1060.929004,120.798539,5,30.935441
NPM1,CEBPE,203.758605,472.591366,94.976160,82.111766,23,31.156211
IDH2,CEBPZ,1150.030035,344.654894,1139.098823,172.492066,10,31.764914
WT1,CEBPA,2786.608929,2736.037860,2709.708553,1620.366151,6,32.049399
NRAS,CEBPZ,1150.445865,330.029876,1121.015340,331.408127,5,32.347351
FLT3-ITD+DNMT3A,CEBPG,1094.264769,365.889621,1125.231798,290.858755,5,33.291364
DNMT3A,CEBPA,2859.782027,2955.956345,2550.210107,1564.264494,23,33.380702
